geoid,county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_highschool,prop_GED,prop_some_college,prop_college_no_degree,prop_associates,prop_bachelors,prop_masters,prop_professional,prop_doctoral,prop_poverty
01,Alabama,2008,4661900,42666,631,742,0.5154499238507905,0.48455007614920953,0.7028359681674854,0.26183380166884745,0.005140822411463138,0.00976833479911624,2.4174692721851606e-4,0.007177116626268259,0.013002209399601021,0.26042269300720905,0.05599384635174479,0.05957806060680871,0.1546490676137949,0.06831511070817305,0.14279264017951607,0.05542473783489941,0.013383795154716632,0.008333931568598853,0.15695140822184195
02,Alaska,2008,686293,68460,949,1393,0.4789994943850513,0.5210005056149487,0.69112900758131,0.036257108844181714,0.12725905699169304,0.046373779129322314,0.005484537945163363,0.012462607078900702,0.08103390242942883,0.21830967684237035,0.04658967618339331,0.08116478897437285,0.21686228086071815,0.08030576534298578,0.17587155596244772,0.06465035384713146,0.017437002972457115,0.01512587638061572,0.08420040520586518
04,Arizona,2008,6500180,50958,866,1177,0.4986763443473873,0.5013236556526127,0.8005912143971398,0.03626945715349421,0.04411400915051583,0.023755649843542795,0.0014368832863089944,0.06808688374783467,0.025745902421163723,0.21063472872218247,0.0393591294265753,0.07719126344916348,0.1816943256688595,0.07837908555348336,0.15909279013449343,0.06474226764780454,0.01623786209194554,0.010927963359742896,0.14718370420672222
05,Arkansas,2008,2855390,38815,606,660,0.510203509853295,0.489796490146705,0.7871509671183271,0.15501770336101198,0.005241665761944953,0.010319430970900647,6.710116656568805e-4,0.02181138128241676,0.01978783983974168,0.29580086436773756,0.05826953450796502,0.06878793088902582,0.15348828020294594,0.055811201753083864,0.1251352243201941,0.043344400458347705,0.01218807633860063,0.007252722373925013,0.17322446643154377
06,California,2008,36756666,61021,1135,1919,0.4998588011219516,0.5001411988780484,0.6247026865820746,0.06150179670811275,0.008553006412496716,0.12375281806026694,0.0035960824085623,0.1422402673844249,0.03565334244406171,0.18642537663722886,0.02197354388784042,0.05841287808016125,0.16353103362920743,0.07605150456833669,0.1883724215712059,0.07033001202457821,0.02292417919460657,0.014275510237042127,0.13278281422639623
08,Colorado,2008,4939456,56993,848,1364,0.4963327945425569,0.503667205457443,0.8473945308957099,0.03797098303942782,0.00968426482592415,0.0255378325062517,0.0011061946902654867,0.04750644605397841,0.030799747988442452,0.190171944691829,0.038736130205520886,0.0632045224279549,0.16437901506147976,0.07616212681112562,0.22938646520131928,0.09185216421812147,0.02118371107064424,0.013525482175134369,0.11434179467039583
09,Connecticut,2008,3501252,68595,970,1722,0.511804063232238,0.4881959367677619,0.8013544869092541,0.09458016732300331,0.0023194560117352305,0.03464332187457515,2.878970151248753e-4,0.04564709995167443,0.021167570914632824,0.24766052944677047,0.03223002668423904,0.05493891047604869,0.12090341523577422,0.0745910975558692,0.2038542209018503,0.10854508934292652,0.02838113501700491,0.015309706777898226,0.09284491390331985
10,Delaware,2008,873092,57989,917,1209,0.5159055403096122,0.4840944596903877,0.7272784540460799,0.20577900152561243,0.0030374805862383347,0.028954566070929524,1.5462288052118218e-4,0.017854933958849697,0.01694094093176893,0.2789961001081107,0.03427229804867904,0.06962054687862554,0.14221972427472152,0.07212995285410555,0.16648705507458608,0.07670704060253243,0.017976628149003714,0.013794857780275725,0.10001269345769788
11,District of Columbia,2008,591833,57936,1011,1826,0.5271656024588017,0.47283439754119827,0.37495543506360746,0.5344041308950329,0.003737540826550733,0.03394707628672278,9.529715308203496e-4,0.03203268489590814,0.019970160501357647,0.16989706960432724,0.028407402270610844,0.031904459986923185,0.11545739137326386,0.029695270551405757,0.21570060034475244,0.15004408472191952,0.07408214618295655,0.04252689663371045,0.17222544556252825
12,Florida,2008,18328340,47778,947,1152,0.509136943116507,0.490863056883493,0.7756022640348226,0.15360741889336404,0.0025930335207662012,0.02293677441601367,4.1247597982141317e-4,0.02624231108763805,0.018605722067574042,0.2571230069549677,0.04233928311011565,0.06482607226224332,0.14616763358807477,0.08359898867758601,0.16807597076148093,0.06075714371657522,0.01952696707532601,0.009797304001161628,0.1322738443192096
